"","Year","Region","Export_Total"
"388",2005,"Pacific",NA
"389",2005,"Middle East",NA
"390",2005,"World",NA
"391",2006,"Asia",NA
"392",2006,"Africa",NA
"393",2006,"Pacific",NA
"394",2006,"Middle East",NA
"395",2006,"World",NA
"396",2007,"Asia",NA
"397",2007,"Africa",NA
"398",2007,"Pacific",NA
"399",2007,"Middle East",NA
"400",2007,"World",NA
"401",2008,"Asia",NA
"402",2008,"Africa",NA
"403",2008,"Pacific",NA
"404",2008,"Middle East",NA
"405",2008,"World",NA
"406",2009,"Asia",NA
"407",2009,"Africa",NA
"408",2009,"Pacific",NA
"409",2009,"Middle East",NA
"410",2009,"World",NA
"411",2010,"Asia",NA
"412",2010,"Africa",NA
"413",2010,"Pacific",NA
"414",2010,"Middle East",NA
"415",2010,"World",NA
"416",2011,"Asia",NA
"417",2011,"Africa",NA
"418",2011,"Pacific",NA
"419",2011,"Middle East",NA
"420",2011,"World",NA
"421",2012,"Asia",NA
"422",2012,"Africa",NA
"423",2012,"Pacific",NA
"424",2012,"Middle East",NA
"425",2012,"World",NA
"426",2013,"Asia",NA
"427",2013,"Africa",NA
"428",2013,"Pacific",NA
"429",2013,"Middle East",NA
"430",2013,"World",NA
"431",2014,"Asia",NA
"432",2014,"Africa",NA
"433",2014,"Pacific",NA
"434",2014,"Middle East",NA
"435",2014,"World",NA
"436",2015,"Asia",NA
"437",2015,"Africa",NA
"438",2015,"Pacific",NA
"439",2015,"Middle East",NA
"440",2015,"World",NA
"441",2016,"Asia",NA
"442",2016,"Africa",NA
"443",2016,"Pacific",NA
"444",2016,"Middle East",NA
"445",2016,"World",NA
"446",2017,"Asia",NA
"447",2017,"Africa",NA
"448",2017,"Pacific",NA
"449",2017,"Middle East",NA
"450",2017,"World",NA
"451",2018,"Asia",NA
"452",2018,"Africa",NA
"453",2018,"Pacific",NA
"454",2018,"Middle East",NA
"455",2018,"World",NA
"456",2019,"Asia",NA
"457",2019,"Africa",NA
"458",2019,"Pacific",NA
"459",2019,"Middle East",NA
"460",2019,"World",NA
"461",2020,"Asia",NA
"462",2020,"Africa",NA
"463",2020,"Pacific",NA
"464",2020,"Middle East",NA
"465",2020,"World",NA
"466",1990,"Asia",NA
"467",1990,"Africa",NA
"468",1990,"Pacific",NA
"469",1990,"Middle East",NA
"470",1990,"World",NA
"471",1991,"Asia",NA
"472",1991,"Africa",NA
"473",1991,"Pacific",NA
"474",1991,"Middle East",NA
"475",1991,"World",NA
